,commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr,churn,buggy,fix,bugdens,strata
572,40b98d32a0ed235cc01fe85b3f6498ad3fdd8d6a,1314198187,0.0,0.0,0,25,1,1,1,0,false,,,,,1,681895,1,,23,,,23,,,21,,,0.916666666666667,1,1,25,FALSE,FALSE,0.0,0
573,40bfdab75c42817f70a2a0e018f0ddd86ded76e9,1381351196,0.0,0.0,0,52,3,1,1,0.705125004787883,false,,,,,34,298,93,,1182,,,864,,,63,,,0.251968503937008,0.547244094488189,0.547244094488189,52,FALSE,FALSE,0.0,0
574,40d2ed9667fe00d1766779cf670031e00e60d3ad,1394451116,0.0,0.0,49,17,6,3,1,0.811793514304749,false,,,,,151,225364,691,,17,,,17,,,17,,,0.00238347457627119,0.115863347457627,0.116657838983051,66,FALSE,FALSE,0.0,0
576,4123094b220cc1cb6160440d01ac2f0af9df97d0,1361232432,0.0,0.0,0,47,2,2,1,0.925225327805443,false,,,,,94,1113.5,332,,416,,,397,,,373,,,0.0957991803278688,0.256659836065574,0.329149590163934,47,FALSE,FALSE,0.0,0
577,412e793780665b43c134ddd59907766549ecadd8,1393685116,0.0,1.0,9,1,2,2,1,0.721928094887362,false,,,,,13,1314633.5,15,,18,,,17,,,16,,,0.0144435004248088,0.519966015293118,0.521665250637213,10,FALSE,TRUE,0.0,0
578,413ca11a5f3df67f6dbc73075e4b338d190eab62,1321379714,0.0,0.0,32,0,1,1,1,0,false,,,,,0,0,0,,0,,,0,,,0,,,0.0588235294117647,0.823529411764706,0.823529411764706,32,FALSE,FALSE,0.0,0
579,41af372219793556e6ba335d765761fa277107df,1321467443,0.0,0.0,23,11,2,2,1,0.989992791557519,false,,,,,8,594948,11,,106,,,106,,,81,,,0.351931330472103,0.429184549356223,0.549356223175966,34,FALSE,FALSE,0.0,0
580,41b17b61e27e2f69420d2fd526f9236b21cf4a0a,1356566674,0.0,0.0,0,0,1,1,1,0,false,,,,,21,218706,29,,296,,,288,,,269,,,0.0807416267942584,0.231758373205742,0.283492822966507,0,FALSE,FALSE,0.0,0
581,41b3b0d4899ea19900794f4da32b39058f8440b6,1381839128,0.0,0.0,0,1,1,1,1,0,false,,,,,7,1351201,7,,58,,,58,,,8,,,0.00911854103343465,0.32016210739615,0.323201621073961,1,FALSE,FALSE,0.0,0
582,41b4af111d4f80f51e79aeebc643ace60dee54f8,1320919088,0.0,0.0,33,66,2,2,1,0.368556777537706,false,,,,,15,56957.5,20,,11,,,11,,,10,,,0.0555555555555556,0.676767676767677,0.717171717171717,99,FALSE,FALSE,0.0,0
583,41b772fc09cd839137dabe6648b11798a43fc1e4,1393625252,0.0,0.0,9,0,1,1,1,0,false,,,,,6,1530399,12,,35,,,27,,,33,,,0.0228494623655914,0.700268817204301,0.701612903225806,9,FALSE,FALSE,0.0,0
584,41c45e4ba011c3047f82db1ea56df9fe3f3ef051,1398770928,0.0,0.0,4,3,1,1,1,0,false,,,,,19,1002458,29,,1319,,,808,,,1108,,,0.14039751867325,0.239650588682112,0.352829472085074,7,FALSE,FALSE,0.0,0
585,41d674e9c562e82bf7e5f23ab09de43e2c565ef7,1322593414,0.0,0.0,69,49,3,2,1,0.719552048069136,false,,,,,25,9919,85,,24,,,24,,,23,,,0.0839160839160839,0.632867132867133,0.63986013986014,118,FALSE,FALSE,0.0,0
586,41e8ba672b4c367989c03906a730a355a20bd4bb,1364909610,0.0,0.0,0,0,6,4,1,0,false,,,,,12,2615135.66666667,26,,35,,,35,,,0,,,0.0021978021978022,0.446153846153846,0.446153846153846,0,FALSE,FALSE,0.0,0
587,4201b019312aeae237d3a1175f501cbc0c235e3c,1320981660,0.0,0.0,24,8,4,4,1,0.981015511504056,false,,,,,18,7038.5,48,,185,,,184,,,116,,,0.549295774647887,0.169014084507042,0.643192488262911,32,FALSE,FALSE,0.0,0
588,420695498c7240ef66a0dda65651a8b9d5d6969c,1359449930,0.0,0.0,0,0,2,2,1,0,false,,,,,2,7371809.5,1,,0,,,0,,,0,,,0.00326797385620915,0.957516339869281,0.957516339869281,0,FALSE,FALSE,0.0,0
589,4213a1e9dabda4e9174678ce46a0d80da38ded3e,1320958025,0.0,0.0,1,1,1,1,1,0,false,,,,,5,67230,9,,174,,,173,,,58,,,0.686046511627907,0.837209302325581,0.988372093023256,2,FALSE,FALSE,0.0,0
591,426315ff0396bc87b05da77021f7368a38ee085b,1352686266,0.0,0.0,0,4,2,2,1,1,false,,,,,14,2704502,22,,98,,,97,,,45,,,0.0156409384563074,0.215232913974838,0.229173750425025,4,FALSE,FALSE,0.0,0
592,429cb8b7453662e325d6120457638827527483cd,1383653724,0.0,0.0,0,3,1,1,1,0,false,,,,,12,3094817,14,,3,,,3,,,2,,,0.00572519083969466,0.608778625954199,0.610687022900763,3,FALSE,FALSE,0.0,0
593,42ae9dae931e2afebf916d82b39cc3481b300718,1361573942,0.0,0.0,0,2,1,1,1,0,false,,,,,16,1774,40,,359,,,326,,,232,,,0.33428981348637,0.170731707317073,0.397417503586801,2,FALSE,FALSE,0.0,0
594,42db9221fe9969822f28ca07dd44f1ad0aad1565,1398682462,0.0,0.0,28,40,4,2,1,0.986583748172265,false,,,,,62,68037,179,,1966,,,1630,,,1046,,,0.132716440613512,0.152997845100773,0.238052985169223,68,FALSE,FALSE,0.0,0
595,42de74116e956ff6922e9093940f97379c8f3aac,1363658680,0.0,0.0,0,5,1,1,1,0,false,,,,,13,1566958,28,,0,,,0,,,0,,,0.00134408602150538,0.380376344086022,0.380376344086022,5,FALSE,FALSE,0.0,0
596,42e164c32655fcde9e148501ca1bd998bb5b7cfc,1381527818,0.0,0.0,0,2,2,1,1,1,false,,,,,66,119182,173,,141,,,140,,,124,,,0.114995400183993,0.939282428702852,0.947562097516099,2,FALSE,FALSE,0.0,0
597,42edf020e263e0410a4f1db98db71658b801960a,1395861078,0.0,0.0,14,1,2,2,1,0.836640741941167,false,,,,,96,131019,244,,730,,,652,,,718,,,0.093522372528616,0.390348595213319,0.435093652445369,15,FALSE,FALSE,0.0,0
598,430d3a5b94543e3b24a58d61d1497b3683ff309e,1384555111,0.0,0.0,0,5,1,1,1,0,false,,,,,54,99511,108,,1,,,1,,,1,,,0.00172711571675302,0.968048359240069,0.968048359240069,5,FALSE,FALSE,0.0,0
599,43142614ddfaafd867812ae4afaa6ccf3b8d9c2a,1379707741,0.0,0.0,0,20,1,1,1,0,false,,,,,1,6812955,1,,474,,,449,,,75,,,0.206521739130435,0.826086956521739,0.855978260869565,20,FALSE,FALSE,0.0,0
600,43214c6e99bb010b781e17b9c3acbe2c12f29672,1322434117,0.0,0.0,6,2,1,1,1,0,false,,,,,1,5629214,1,,9,,,9,,,7,,,0.0296296296296296,0.474074074074074,0.481481481481482,8,FALSE,FALSE,0.0,0
601,4325ee3432c0e76aac021a7a646504b2114a3394,1373988251,0.0,0.0,0,9,2,2,1,0.991076059838222,false,,,,,7,1982928,11,,0,,,0,,,0,,,0.00018896447467876,0.420445956160242,0.420445956160242,9,FALSE,FALSE,0.0,0
602,433274d3a12f2e8c85acb8fe2caf380dacd92521,1326671145,0.0,0.0,0,9,1,1,1,0,false,,,,,5,185506,9,,328,,,327,,,237,,,0.444859813084112,0.386915887850467,0.704672897196262,9,FALSE,FALSE,0.0,0
603,43460d0e7e66157f0b43f5ef72dff86b3152e55f,1372272781,0.0,0.0,0,93,2,2,1,0.149811367472748,false,,,,,115,7444,399,,441,,,317,,,391,,,0.0777315090224073,0.358516755899266,0.406107475708903,93,FALSE,FALSE,0.0,0
604,436b2f5aa2350b0dace575552e5c7bca6b3a32c1,1397245010,0.0,0.0,20,17,2,2,1,0.639457132485164,false,,,,,212,2984,1188,,1196,,,991,,,1177,,,0.1512583461736,0.431689779147406,0.506034925526451,37,FALSE,FALSE,0.0,0
605,43aaf80942a0afb7471e803e57a3db851dab608b,1393835873,0.0,0.0,10,5,2,2,1,0.566509506552905,false,,,,,205,155722,1141,,59,,,58,,,54,,,0.00734116390816871,0.218232781633743,0.220368392952483,15,FALSE,FALSE,0.0,0
606,43cbe96a7ff841e8caeabd1c99feaf82977328eb,1390960496,0.0,0.0,0,178,5,1,1,0.885212434476862,false,,,,,13,595560.8,31,,31,,,31,,,31,,,0.00444876963714723,0.391491728068956,0.393577088836369,178,FALSE,FALSE,0.0,0
607,43fb09ba482df5ed7d6742f5cd678ff0c0536228,1340899137,0.0,0.0,0,2,1,1,1,0,false,,,,,17,57274,42,,579,,,579,,,549,,,0.312677657760091,0.266060261512223,0.474133030130756,2,FALSE,FALSE,0.0,0
608,43fb6880d90197735b0b9bf4587fcece825c1ed0,1320958324,0.0,0.0,76,8,4,4,1,0.902380225017062,false,,,,,17,196009.25,37,,9,,,9,,,8,,,0.0445544554455446,0.193069306930693,0.227722772277228,84,FALSE,FALSE,0.0,0
609,43fd6fe7385285ebd85972f96298bf1990b78e04,1327614334,0.0,0.0,0,5,1,1,1,0,false,,,,,13,58152,28,,65,,,64,,,25,,,0.0398162327718224,0.355283307810107,0.382848392036754,5,FALSE,FALSE,0.0,0
610,441f6e80a9d465bbc63d8482b3841a859ed068ab,1394102487,0.0,0.0,38,11,2,2,1,0.948613198238581,false,,,,,159,1417,495,,99,,,99,,,96,,,0.0128920786815524,0.343833067517278,0.345029239766082,49,FALSE,FALSE,0.0,0
611,442b78f5286de8a267fc8ec268406cc2c1280535,1398856541,0.0,0.0,18,17,6,6,1,0.951515099666881,false,,,,,56,1241,159,,1980,,,1641,,,1059,,,0.133922931143399,0.322046746683512,0.381554011370815,35,FALSE,FALSE,0.0,0
612,442e7cff77a416861a52f75372baba2bf0ffdbc5,1347664470,0.0,0.0,0,152,1,1,1,0,false,,,,,2,17652509,2,,897,,,883,,,391,,,0.75095785440613,0.0996168582375479,0.762452107279693,152,FALSE,FALSE,0.0,0
613,44651806269f449f81d873353d3291dd72e6360a,1336161280,0.0,0.0,0,49,4,4,1,0.554806202381368,false,,,,,62,8564,247,,586,,,586,,,575,,,0.395876288659794,0.525085910652921,0.745704467353952,49,FALSE,FALSE,0.0,0
614,4465cd20b42c0db0efd405b57d9dc141bf6ed918,1396270796,0.0,0.0,4,1,1,1,1,0,false,,,,,4,8324572,4,,3,,,3,,,3,,,0.00257234726688103,0.446945337620579,0.447588424437299,5,FALSE,FALSE,0.0,0
615,44670135be0640622bf6ab74552aa4a9efd21b0c,1399585730,0.0,0.0,17,11,3,3,1,0.536495913384725,false,,,,,73,2695,179,,1860,,,891,,,1743,,,0.219178082191781,0.148548447907503,0.365213019982405,28,FALSE,FALSE,0.0,0
617,447641972539f1e13923c6ee5d64169f4229b856,1400103419,0.0,0.0,32,5,2,2,1,0.405977038475571,false,,,,,110,1233429.5,334,,1864,,,890,,,1747,,,0.219020172910663,0.151108883598547,0.367121914547049,37,FALSE,FALSE,0.0,0
618,44b39417baffb6047ca378e33d6694b5db7fc108,1396322569,0.0,0.0,326,323,6,1,1,0.926385511087069,false,,,,,26,174696.5,47,,278,,,269,,,211,,,0.308588064046579,0.244541484716157,0.477438136826783,649,FALSE,FALSE,0.0,0
619,44c64d7862dc707a999a4ac2c8186e5bad5bba4b,1394814935,0.0,0.0,1,16,4,2,1,0.701040701378016,false,,,,,46,438,190,,2171,,,1707,,,2072,,,0.272404730617608,0.333377135348226,0.498817345597897,17,FALSE,FALSE,0.0,0
620,44d9647e7ff59c907bfe7e3eb3873159556809db,1320106914,0.0,0.0,1,1,1,1,1,0,false,,,,,11,452946,12,,47,,,47,,,30,,,0.22463768115942,0.231884057971014,0.231884057971014,2,FALSE,FALSE,0.0,0
621,44f81e3377fea775ca42c63f6fcce093bdfc17b0,1396936312,0.0,0.0,0,5,1,1,1,0,false,,,,,40,1240743,84,,275,,,273,,,266,,,0.034416086620263,0.437612786800722,0.444186646042795,5,FALSE,FALSE,0.0,0
622,45381fe1c742c75773d97f1c0bd1f3cb1e7a6468,1399226077,0.0,1.0,4,3,1,1,1,0,false,,,,,27,415937,52,,16,,,15,,,3,,,0.00331400165700083,0.655343827671914,0.656172328086164,7,FALSE,TRUE,0.0,0
623,4539ff26d903174c844d6571533dfe719195e107,1398411466,0.0,1.0,56,1,2,2,1,0.29747224891929,false,,,,,19,1535259.5,32,,5,,,5,,,4,,,0.00422654268808115,0.475063398140321,0.475908706677937,57,FALSE,TRUE,0.0,0
624,45489f9814fce0f7b3f6c947076529962902f729,1385108479,0.0,1.0,0,1,1,1,1,0,false,,,,,13,3552,19,,12,,,12,,,7,,,0.00678541136556404,0.529262086513995,0.529262086513995,1,FALSE,TRUE,0.0,0
625,4559a5f381082dba30bb535b69deeb09135da680,1394144954,0.0,1.0,176,1,5,2,1,0.850749570708359,false,,,,,14,576528.6,18,,7,,,7,,,4,,,0.00547045951859956,0.862144420131291,0.862144420131291,177,FALSE,TRUE,0.0,0
626,4584e552a653904c36cf04cb295a7bf09d2def28,1317250594,0.0,0.0,380,251,12,9,1,0.805667326887534,false,,,,,9,164569,13,,23,,,23,,,23,,,0.489795918367347,0.142857142857143,0.571428571428571,631,FALSE,FALSE,0.0,0
627,458f357d39b74a587335af1a0d7011653c54e2a8,1390117044,0.0,0.0,0,2,1,1,1,0,false,,,,,88,82296,260,,1661,,,1426,,,790,,,0.111173576950105,0.394659170765987,0.439212930428672,2,FALSE,FALSE,0.0,0
628,45a3b4471da7e49b727a033bd20bfff5535bef55,1378826786,0.0,0.0,1,1,181,46,3,0,false,,,,,141,88911.226519337,521,,59,,,59,,,22,,,0.0181245074862096,0.717888100866824,0.721040189125296,2,FALSE,FALSE,0.0,0
629,45b7a31832146043f6e439dbf6d1d5d5336f6237,1393965446,0.0,0.0,12,1,3,3,1,0.491715000788651,false,,,,,29,572962,97,,292,,,188,,,173,,,0.147208121827411,0.241962774957699,0.349407783417936,13,FALSE,FALSE,0.0,0
630,45e797b967bbb0c3d5023dd21e3576f1a9f872d0,1394654421,0.0,0.0,1027,13,4,1,1,0.819748371316201,false,,,,,4,1246308,4,,207,,,169,,,119,,,0.179372197309417,0.591928251121076,0.650224215246637,1040,FALSE,FALSE,0.0,0
631,4617f058c00523861f106376160442fe2ac1c39c,1394823602,0.0,0.0,6,4,3,3,1,0.864973520717927,false,,,,,37,194580,89,,244,,,241,,,216,,,0.181894383906119,0.455993294216262,0.528918692372171,10,FALSE,FALSE,0.0,0
632,4640542cc502a442d4807822d75d3fa3eff0a33b,1394062620,0.0,1.0,56,22,3,2,1,0.809496442272739,false,,,,,58,528022.333333333,156,,2,,,2,,,2,,,0.000398883127243718,0.425475335726632,0.425475335726632,78,FALSE,TRUE,0.0,0
634,46cf865831fdb50a1da0044ca83cc4f0de8876e4,1319637882,0.0,0.0,128,283,2,2,1,0.0790135895299492,false,,,,,9,63862.5,16,,10,,,10,,,8,,,0.075,0.575,0.616666666666667,411,FALSE,FALSE,0.0,0
635,46d04831f5c290a40c14da415169749e2ef41383,1318287536,0.0,0.0,132,33,6,5,1,0.826835640119197,false,,,,,12,735777.833333333,13,,19,,,19,,,7,,,0.108108108108108,0.513513513513513,0.567567567567568,165,FALSE,FALSE,0.0,0
636,46d8dcfa5807ef84d6b96b056957a1b9aa0daff7,1395624823,0.0,1.0,88,18,2,2,1,0.678423219711619,false,,,,,31,2340889.5,43,,14,,,14,,,12,,,0.00169557845311073,0.131863832007304,0.132385548454415,106,FALSE,TRUE,0.0,0
637,470f089a764185350b698725c6720e602c1eb804,1395411829,0.0,0.0,0,0,1,1,1,0,false,,,,,1,258494,2,,3,,,3,,,0,,,0.000980392156862745,0.877450980392157,0.877450980392157,0,FALSE,FALSE,0.0,0
638,472e1535a615e9933d0b3df3853300348019e560,1340683150,0.0,0.0,0,3,1,1,1,0,false,,,,,47,1239058,99,,229,,,229,,,173,,,0.100461893764434,0.462471131639723,0.517321016166282,3,FALSE,FALSE,0.0,0
639,476dc5efcdb11c9859b062dc69a8c205e69be861,1397661795,0.0,1.0,1,1,1,1,1,0,false,,,,,69,1378487,158,,207,,,189,,,207,,,0.0266086734041192,0.220161187156198,0.234361008059358,2,FALSE,TRUE,0.0,0
640,4774940496d4a44f3c2debcd897f049d948e71f4,1380644324,0.0,0.0,0,10,1,1,1,0,false,,,,,87,1100,220,,484,,,326,,,429,,,0.0697372688939345,0.164288031138501,0.217320791436912,10,FALSE,FALSE,0.0,0
641,47898ba8f9526c88a03209dbc35a59d90b79e809,1399929888,0.0,0.0,27,0,2,2,1,0.503258334775646,false,,,,,23,881938,64,,26,,,26,,,26,,,0.00338812899987451,0.149830593550006,0.151210942401807,27,FALSE,FALSE,0.0,0
642,47c03a348031d25fafd56ed3c74c5376f21b1cf0,1317152613,0.0,0.0,72,12,5,3,1,0.583523884926191,false,,,,,7,4669,14,,62,,,61,,,33,,,0.666666666666667,0.882352941176471,1,84,FALSE,FALSE,0.0,0
643,47e51e7521784f6a2edcfbf71a9aac0237e76e42,1398741858,0.0,1.0,6,5,2,2,1,0.94566030460064,false,,,,,6,21972,11,,325,,,302,,,257,,,0.216624685138539,0.741393786733837,0.785894206549118,11,FALSE,TRUE,0.0,0
644,47f6ffad8291c7383d79cd987d06cb5753dad729,1396297334,0.0,0.0,97,533,3,2,1,0.768345182902873,false,,,,,46,311192,190,,2205,,,1711,,,2106,,,0.273068947641265,0.122343182996371,0.349533437013997,630,FALSE,FALSE,0.0,0
645,47fd5a85afc873433131265c75f011a9a8d971ca,1377058897,0.0,0.0,0,6,1,1,1,0,false,,,,,25,416,49,,113,,,113,,,105,,,0.018380440436969,0.21484307265476,0.222299289058436,6,FALSE,FALSE,0.0,0
646,4847ceb59fe35481fd42ddc9369b7d3814eca721,1317073065,0.0,0.0,67,3,3,3,1,0.315913839062889,false,,,,,5,2386,8,,58,,,57,,,31,,,0.653061224489796,0.877551020408163,1,70,FALSE,FALSE,0.0,0
647,486deeabd695bfd06a2aaf3c047e7206cd39f61f,1312473600,0.0,0.0,63,1,4,4,2,0.554807660894414,false,,,,,1,3184906.5,2,,0,,,0,,,0,,,0.2,0.4,0.4,64,FALSE,FALSE,0.0,0
648,48a53d32ee243d80b034b38e292e9bfb4b66f881,1397749325,0.0,0.0,25,2,2,2,1,0.605186576633421,false,,,,,23,2404641,46,,306,,,193,,,6,,,0.00442757748260595,0.299177735610373,0.301075268817204,27,FALSE,FALSE,0.0,0
649,48fc6611d15aaedc68747df150480250816fc04e,1317331638,0.0,0.0,34,0,2,2,1,0.908178347299705,false,,,,,6,236750,6,,31,,,31,,,30,,,0.53448275862069,0.586206896551724,0.793103448275862,34,FALSE,FALSE,0.0,0
650,492116d0f4bba731b5f1a7659a23b23e2d54f843,1349137199,0.0,0.0,0,239,3,2,1,0.6299653283675,false,,,,,5,12105450,6,,182,,,182,,,162,,,0.0617892342683851,0.337755875663381,0.383244882486732,239,FALSE,FALSE,0.0,0
651,49283a6a50628860edb7bb54a88419d51e3bb8b7,1351506403,0.0,0.0,0,7,2,2,1,0.591672778582327,false,,,,,22,318197,64,,9,,,9,,,7,,,0.020253164556962,0.688607594936709,0.688607594936709,7,FALSE,FALSE,0.0,0
652,49502246ef319cf8981b8a867ce2a3b6a163fc9c,1396605311,0.0,1.0,28,38,2,2,1,0.999337504168885,false,,,,,19,2370392.5,28,,46,,,46,,,46,,,0.0431192660550459,0.492660550458716,0.509174311926605,66,FALSE,TRUE,0.0,0
653,49d67bd5051a7399d6108119ade54db92cae23f0,1321541171,0.0,0.0,14,2,2,1,1,1,false,,,,,6,200075,10,,0,,,0,,,0,,,0.0104166666666667,0.833333333333333,0.833333333333333,16,FALSE,FALSE,0.0,0
654,4a0f95f27a2457ffdaed509bfb7b2d67a35b8fca,1389676572,0.0,0.0,0,8,2,2,1,0.954434002924965,false,,,,,180,553085.5,903,,64,,,64,,,6,,,0.00099601593625498,0.0920603301081389,0.0927717700626067,8,FALSE,FALSE,0.0,0
655,4a4c274c834728a03bce7e5384c562321821eaf8,1328653935,0.0,0.0,0,8,1,1,1,0,false,,,,,18,24881,31,,28,,,28,,,3,,,0.125,0.28125,0.375,8,FALSE,FALSE,0.0,0
656,4a5da930e8baf1b370a6aab32fedb7f7bfb40930,1399879083,0.0,0.0,4,0,1,1,1,0,false,,,,,3,1570771,3,,0,,,0,,,0,,,0.000814332247557003,0.0293159609120521,0.0293159609120521,4,FALSE,FALSE,0.0,0
657,4a76167e354eed4aa98232fbf6c845f86ce4cf22,1322465209,0.0,0.0,30,5,2,2,1,0.775512658133148,false,,,,,4,477556,5,,89,,,89,,,61,,,0.228782287822878,0.638376383763838,0.719557195571956,35,FALSE,FALSE,0.0,0
658,4ab214a35ff84f12d09713737aac801fb0256282,1342495682,0.0,0.0,0,381,6,3,2,0.737948519933566,false,,,,,7,758721.333333333,13,,397,,,397,,,49,,,0.37037037037037,0.22962962962963,0.474074074074074,381,FALSE,FALSE,0.0,0
659,4abd3e25bb28b497af38588ca4d495e9bbf927fd,1380487515,0.0,0.0,0,0,1,1,1,0,false,,,,,2,277862,2,,63,,,63,,,9,,,0.0102774922918808,0.500513874614594,0.503597122302158,0,FALSE,FALSE,0.0,0
660,4ae0a0bd8f6c43b09e90fafc28ccfee3a1071dad,1389336914,0.0,0.0,0,4,1,1,1,0,false,,,,,2,51426197,1,,62,,,62,,,5,,,0.000857020425653478,0.286387658905871,0.286959005856306,4,FALSE,FALSE,0.0,0
661,4b5e795e085dd2ade9d2b8e93a0572878397d826,1316138489,0.0,0.0,47,1,2,2,1,0.811278124459133,false,,,,,4,16281,5,,36,,,36,,,34,,,0.875,1,1,48,FALSE,FALSE,0.0,0
662,4b8670aa74e025f0b871918c596240d3760a5629,1352816808,0.0,0.0,0,8,4,3,1,0.952819531114783,false,,,,,19,462409,34,,29,,,28,,,2,,,0.0138888888888889,0.231481481481482,0.240740740740741,8,FALSE,FALSE,0.0,0
663,4bbb4d88595cfd5f75528d8789be94d0ec9fbe62,1394433313,0.0,0.0,9,0,2,2,1,0.503258334775646,false,,,,,150,230735,587,,26,,,26,,,23,,,0.00317965023847377,0.472045574986751,0.472443031266561,9,FALSE,FALSE,0.0,0
664,4c68f19cd8d1f045bde02be7eec50c34c1d87932,1394783952,0.0,1.0,2,1,2,2,1,0.91829583405449,false,,,,,201,13752.5,1011,,288,,,252,,,200,,,0.026440410418311,0.286108918705604,0.29715864246251,3,FALSE,TRUE,0.0,0
665,4c82fc82238c56400998e3e25b3039e817015bac,1398303254,0.0,0.0,1,1,1,1,1,0,false,,,,,1,118901,2,,793,,,661,,,290,,,0.248293515358362,0.616894197952218,0.616894197952218,2,FALSE,FALSE,0.0,0
666,4c8660ad720bad8e72d48345a64b13703afa3131,1395443919,0.0,0.0,1,0,1,1,1,0,false,,,,,17,4988023,28,,1017,,,771,,,953,,,0.124575607208148,0.300470096630974,0.387046226168712,1,FALSE,FALSE,0.0,0
667,4cb139fb99814f04b9e4595d7e2efa34e7992826,1399468665,0.0,1.0,23,5,3,2,1,0.716620107704106,false,,,,,39,606444,103,,2,,,2,,,2,,,0.000377691048722145,0.163414327080448,0.163414327080448,28,FALSE,TRUE,0.0,0
668,4cb3eb2a98246f28f8016cfe32946d365203fbae,1396971780,0.0,1.0,15,1,2,2,1,0.811278124459133,false,,,,,6,678237,14,,308,,,286,,,240,,,0.216337522441652,0.827648114901257,0.842908438061041,16,FALSE,TRUE,0.0,0
669,4cc2366623743393f89a198581fcb69dc04d31cd,1395431163,0.0,1.0,3,4,1,1,1,0,false,,,,,15,1197852,26,,420,,,419,,,13,,,0.00906735751295337,0.928756476683938,0.928756476683938,7,FALSE,TRUE,0.0,0
670,4cd3478b4b996108f5a581ef09add348e6246596,1399812287,0.0,1.0,24,24,8,4,1,0.749074773353799,false,,,,,38,4728253.75,97,,17,,,9,,,0,,,0.00121802679658952,0.58952496954933,0.58952496954933,48,FALSE,TRUE,0.0,0
671,4cda8f70686da409eaec962abc9138607686eed7,1320174645,0.0,0.0,8,0,2,2,1,0,false,,,,,12,412497,12,,132,,,131,,,74,,,0.524475524475524,0.27972027972028,0.65034965034965,8,FALSE,FALSE,0.0,0
672,4cee584ae6571fba183b4512adf76b19e1ce95c4,1366292534,0.0,0.0,0,6,2,2,1,0.650022421648354,false,,,,,85,143991,229,,17,,,12,,,17,,,0.00411522633744856,0.355509830818473,0.357796067672611,6,FALSE,FALSE,0.0,0
674,4d3a50a48011b412bf66b1386292f85cccf1db74,1342776379,0.0,0.0,0,7,1,1,1,0,false,,,,,16,207955,23,,54,,,54,,,52,,,0.0276329509906152,0.27007299270073,0.290406673618352,7,FALSE,FALSE,0.0,0
675,4d3ad0631c18f1f98c9284bf4411321d9a3b093a,1397753696,0.0,0.0,3,1,2,1,1,1,false,,,,,7,1630703,17,,35,,,31,,,35,,,0.00460181516042439,0.42081043078103,0.422472197366739,4,FALSE,FALSE,0.0,0
677,4d689f437a06c7911c0f82ccef438c3e2e0867e9,1389341933,0.0,0.0,0,0,1,1,1,0,false,,,,,0,0,0,,27,,,27,,,27,,,0.00399885746929449,0.276206798057698,0.278349043130534,0,FALSE,FALSE,0.0,0
678,4d80e619ed1819f719e19b787097e4c4fd79ea4a,1397817239,0.0,0.0,0,6,1,1,1,0,false,,,,,43,1601601,80,,901,,,638,,,845,,,0.108004595940253,0.298480786416443,0.367036895187029,6,FALSE,FALSE,0.0,0
679,4da02aeabc9bb072bd33b21a1c8fb6e10cc4e262,1393748372,0.0,1.0,0,7,1,1,1,0,false,,,,,13,63256,14,,19,,,18,,,17,,,0.0152801358234295,0.320033955857385,0.326825127334465,7,FALSE,TRUE,0.0,0
680,4dba79d67767388d69c196356e14985546cd56aa,1348048592,0.0,0.0,0,2,1,1,1,0,false,,,,,23,46498,51,,0,,,0,,,0,,,0.000392772977219167,0.190494893951296,0.190494893951296,2,FALSE,FALSE,0.0,0
681,4dc3fb192edc48a40d934894cb4c053290117ba9,1360682117,0.0,0.0,0,1,1,1,1,0,false,,,,,98,5855,518,,148,,,147,,,142,,,0.0372395833333333,0.359895833333333,0.384895833333333,1,FALSE,FALSE,0.0,0
682,4dd8bb8637de6788d3e0d7797d4090bc4094407a,1377900924,0.0,0.0,0,0,1,1,1,0,false,,,,,2,2164648,2,,436,,,420,,,48,,,0.187739463601533,0.210727969348659,0.363984674329502,0,FALSE,FALSE,0.0,0
683,4e4092e73aba8e1f594db333c9e423992fa47ef1,1349124686,0.0,0.0,0,2,1,1,1,0,false,,,,,14,1003469,57,,256,,,255,,,137,,,0.251824817518248,0.77007299270073,0.777372262773723,2,FALSE,FALSE,0.0,0
684,4e94ec1a0a566b66f09b734e6ffe964b4b3b4bee,1316804615,0.0,0.0,12,1,2,2,1,0.961236604722876,false,,,,,0,0,0,,0,,,0,,,0,,,0.0476190476190476,0.0952380952380952,0.0952380952380952,13,FALSE,FALSE,0.0,0
685,4e9796712c44dfbe6b9f5e9b1c525637ebbf2d3e,1392191467,0.0,0.0,0,50,6,5,1,0.933146406178225,false,,,,,68,1078975.66666667,168,,66,,,66,,,7,,,0.00108962135657859,0.2239171887769,0.224053391446472,50,FALSE,FALSE,0.0,0
686,4e9d4824050eedfd1495469a69e28864b6fec757,1396886014,0.0,1.0,23,8,4,2,1,0.881058584819088,false,,,,,38,1130269,59,,50,,,50,,,50,,,0.0462794918330309,0.546279491833031,0.558076225045372,31,FALSE,TRUE,0.0,0
687,4ec81d6d5ba78304c40d50d71030e1ec7c2ef231,1336967376,0.0,0.0,0,0,9,2,1,0,false,,,,,6,525183.444444444,8,,22,,,21,,,17,,,0.0120320855614973,0.114304812834225,0.125,0,FALSE,FALSE,0.0,0
